date,category,region,total_sales,avg_sales,total_profit,avg_profit,total_quantity,unique_orders
2014-01-03,Office Supplies,Central,16.448,16.448,5.5512,5.5512,2,1
2014-01-04,Office Supplies,Central,288.06,96.02,-65.9901,-21.9967,8,1
2014-01-05,Office Supplies,East,19.536,19.536,4.884,4.884,3,1
2014-01-06,Furniture,South,2573.82,2573.82,746.4078,746.4078,9,1
2014-01-06,Office Supplies,South,665.9,133.18,284.53,56.90599999999999,12,2
2014-01-06,Office Supplies,West,19.44,19.44,9.3312,9.3312,3,1
2014-01-06,Technology,South,1147.94,573.97,317.7834,158.8917,6,1
2014-01-07,Furniture,Central,76.728,76.728,-53.7096,-53.7096,3,1
2014-01-07,Office Supplies,Central,10.43,10.43,-18.2525,-18.2525,7,1
2014-01-09,Office Supplies,Central,9.344,9.344,1.168,1.168,2,1
2014-01-09,Technology,Central,31.2,31.2,9.75,9.75,3,1
2014-01-10,Furniture,South,51.94,51.94,21.2954,21.2954,1,1
2014-01-10,Office Supplies,South,2.89,2.89,1.3583,1.3583,1,1
2014-01-11,Furniture,East,9.94,9.94,3.0814,3.0814,2,1
2014-01-13,Furniture,South,545.94,545.94,87.3504,87.3504,6,1
2014-01-13,Furniture,West,333.999,333.999,3.9294,3.9294,3,1
2014-01-13,Office Supplies,East,40.846000000000004,20.423000000000002,10.5716,5.2858,9,1
2014-01-13,Office Supplies,South,640.52,160.13,67.87119999999999,16.967799999999997,14,1
2014-01-13,Office Supplies,West,1345.75,672.875,245.22,122.61,10,1
2014-01-13,Technology,South,646.74,646.74,258.696,258.696,6,1
2014-01-14,Furniture,East,61.96,61.96,-53.2856,-53.2856,4,1
2014-01-15,Technology,South,149.95,149.95,65.978,65.978,5,1
2014-01-16,Furniture,East,127.104,127.104,28.5984,28.5984,6,1
2014-01-16,Office Supplies,East,48.66,24.33,-3.4818999999999996,-1.7409499999999998,5,1
2014-01-16,Technology,East,124.2,124.2,-31.05,-31.05,3,1
2014-01-18,Office Supplies,West,64.864,64.864,6.4864,6.4864,4,1
2014-01-19,Furniture,West,181.47,181.47,-320.597,-320.597,5,1
2014-01-19,Office Supplies,West,197.124,65.708,32.599399999999996,10.866466666666666,19,1
2014-01-20,Furniture,Central,287.67,143.835,34.884299999999996,17.442149999999998,6,1
2014-01-20,Furniture,South,1106.54,553.27,235.84740000000002,117.92370000000001,7,1
2014-01-20,Furniture,West,19.3,19.3,5.79,5.79,2,1
2014-01-20,Office Supplies,Central,420.946,70.15766666666667,148.6703,24.778383333333334,20,1
2014-01-20,Office Supplies,South,120.124,30.031,-32.0971,-8.024275,14,2
2014-01-20,Office Supplies,West,19.36,19.36,9.2928,9.2928,2,1
2014-01-20,Technology,South,699.93,699.93,181.9818,181.9818,7,1
2014-01-21,Furniture,South,25.248,25.248,4.1028,4.1028,3,1
2014-01-23,Office Supplies,Central,5.94,5.94,0.0,0.0,3,1
2014-01-23,Office Supplies,West,40.08,40.08,19.2384,19.2384,6,1
2014-01-26,Furniture,Central,141.96,141.96,39.7488,39.7488,2,1
2014-01-26,Furniture,South,75.24,37.62,35.253,17.6265,6,1
2014-01-26,Office Supplies,Central,10.68,10.68,5.0196,5.0196,2,1
2014-01-26,Office Supplies,South,526.04,175.34666666666666,17.6712,5.8904,13,1
2014-01-26,Technology,South,343.33,171.665,52.6344,26.3172,15,1
2014-01-27,Furniture,West,333.0,333.0,-16.65,-16.65,3,1
2014-01-27,Office Supplies,West,93.66999999999999,46.834999999999994,26.3327,13.16635,5,1
2014-01-28,Office Supplies,East,3.928,3.928,1.3257,1.3257,1,1
2014-01-30,Office Supplies,Central,240.5,120.25,11.6502,5.8251,4,1
2014-01-31,Furniture,West,290.666,290.666,3.4196,3.4196,2,1
2014-02-01,Technology,Central,468.9,468.9,206.316,206.316,6,1
2014-02-02,Office Supplies,South,18.336,18.336,-12.224,-12.224,2,1
2014-02-02,Office Supplies,West,12.35,12.35,5.8045,5.8045,5,1
2014-02-02,Technology,South,180.96,180.96,13.572,13.572,5,1
2014-02-03,Office Supplies,West,97.11200000000001,48.556000000000004,31.5614,15.7807,5,1
2014-02-04,Office Supplies,West,134.38400000000001,44.79466666666667,51.1432,17.047733333333333,9,2
2014-02-06,Office Supplies,Central,8.952,8.952,-14.7708,-14.7708,2,1
2014-02-06,Office Supplies,South,15.0,15.0,7.2,7.2,4,1
2014-02-06,Technology,South,306.56,153.28,84.0541,42.02705,6,1
2014-02-07,Office Supplies,East,64.96,64.96,9.744,9.744,4,1
2014-02-07,Technology,East,115.36,115.36,49.6048,49.6048,7,1
2014-02-08,Furniture,West,14.56,14.56,5.5328,5.5328,2,1
2014-02-11,Furniture,Central,393.83,196.915,68.4929,34.24645,4,1
2014-02-11,Furniture,South,1256.22,1256.22,75.3732,75.3732,6,1
2014-02-11,Office Supplies,Central,141.44,35.36,38.2982,9.57455,10,1
2014-02-11,Office Supplies,South,17.46,17.46,8.2062,8.2062,2,1
2014-02-11,Technology,South,234.45,234.45,103.158,103.158,3,1
2014-02-12,Furniture,West,129.568,129.568,-24.294,-24.294,2,1
2014-02-14,Office Supplies,Central,16.176,16.176,6.066,6.066,3,1
2014-02-14,Office Supplies,West,320.58,160.29,27.7212,13.8606,4,1
2014-02-14,Technology,West,239.97,239.97,86.3892,86.3892,3,1
2014-02-15,Office Supplies,West,21.36,21.36,7.209,7.209,5,1
2014-02-16,Office Supplies,Central,9.04,4.52,-15.658,-7.829,5,1
2014-02-17,Office Supplies,Central,54.208,54.208,8.8088,8.8088,14,1
2014-02-18,Furniture,Central,25.16,25.16,-11.322,-11.322,5,1
2014-02-18,Office Supplies,Central,12.624,12.624,-2.5248,-2.5248,2,1
2014-02-20,Furniture,Central,20.32,20.32,6.9088,6.9088,4,1
2014-02-20,Office Supplies,West,12.96,12.96,6.2208,6.2208,2,1
2014-02-20,Technology,Central,62.31,62.31,22.4316,22.4316,3,1
2014-02-21,Office Supplies,Central,8.85,8.85,-13.7175,-13.7175,5,1
2014-02-22,Office Supplies,West,19.44,19.44,9.3312,9.3312,3,1
2014-02-23,Office Supplies,Central,11.364,5.682,-4.522500000000001,-2.2612500000000004,6,1
2014-02-24,Office Supplies,West,55.672,27.836,18.789299999999997,9.394649999999999,7,1
2014-02-27,Office Supplies,East,19.456,19.456,3.4048,3.4048,4,1
2014-03-01,Furniture,Central,1436.4270000000001,359.10675000000003,-250.1004,-62.5251,21,3
2014-03-01,Furniture,West,457.568,457.568,51.4764,51.4764,2,1
2014-03-01,Office Supplies,Central,303.216,75.804,-11.9412,-2.9853,14,3
2014-03-01,Technology,East,5.94,5.94,1.6038,1.6038,3,1
2014-03-02,Office Supplies,East,51.184,17.061333333333334,23.8812,7.9604,8,2
2014-03-02,Technology,East,151.2,151.2,32.13,32.13,3,1
2014-03-03,Furniture,East,302.45,302.45,-199.617,-199.617,5,1
2014-03-03,Furniture,West,626.352,626.352,-23.4882,-23.4882,3,1
2014-03-03,Office Supplies,Central,176.772,176.772,-459.6072,-459.6072,3,1
2014-03-03,Office Supplies,East,210.872,52.718,44.9133,11.228325,19,2
2014-03-03,Office Supplies,South,19.456,19.456,3.4048,3.4048,4,1
2014-03-03,Technology,East,9.99,9.99,4.5954,4.5954,1,1
2014-03-04,Office Supplies,South,370.452,185.226,20.0778,10.0389,8,2
2014-03-05,Office Supplies,East,225.59199999999998,56.397999999999996,83.6012,20.9003,13,1
2014-03-05,Technology,East,479.97,479.97,177.5889,177.5889,3,1
2014-03-07,Furniture,West,966.9839999999999,322.328,81.49170000000001,27.1639,9,2
2014-03-07,Office Supplies,West,594.078,118.81559999999999,52.662200000000006,10.532440000000001,18,3
2014-03-10,Office Supplies,Central,22.38,22.38,10.7424,10.7424,2,1
2014-03-10,Office Supplies,West,719.576,359.788,-6.553799999999999,-3.2768999999999995,7,1
2014-03-11,Furniture,East,8.32,8.32,2.288,2.288,5,1
2014-03-11,Office Supplies,East,119.384,59.692,50.714400000000005,25.357200000000002,20,2
2014-03-11,Office Supplies,South,161.7,80.85,45.1794,22.5897,6,1
2014-03-11,Office Supplies,West,7.98,7.98,2.0748,2.0748,3,1
2014-03-11,Technology,South,620.9300000000001,310.46500000000003,178.8044,89.4022,5,1
2014-03-14,Furniture,South,1139.92,1139.92,284.98,284.98,4,1
2014-03-14,Office Supplies,Central,8.448,8.448,2.64,2.64,2,1
2014-03-14,Office Supplies,South,91.056,91.056,31.8696,31.8696,6,1
2014-03-14,Office Supplies,West,211.416,35.236,46.3418,7.723633333333333,12,2
2014-03-14,Technology,Central,574.91,574.91,156.047,156.047,2,1
2014-03-14,Technology,West,82.8,82.8,6.624,6.624,12,1
2014-03-15,Furniture,South,45.696,45.696,5.1408,5.1408,3,1
2014-03-15,Office Supplies,South,325.086,81.2715,28.4572,7.1143,11,1
2014-03-16,Technology,South,471.92,471.92,29.495,29.495,2,1
2014-03-17,Furniture,East,3265.23,1088.41,-1124.0239,-374.6746333333333,14,1
2014-03-17,Office Supplies,Central,275.104,34.388,115.84779999999999,14.480974999999999,37,2
2014-03-17,Office Supplies,East,316.524,105.508,133.5066,44.502199999999995,17,2
2014-03-17,Office Supplies,South,103.5,20.7,42.81229999999999,8.562459999999998,14,1
2014-03-18,Furniture,South,153.12,76.56,23.3706,11.6853,5,1
2014-03-18,Furniture,West,1309.33,654.665,84.91999999999999,42.459999999999994,12,2
2014-03-18,Office Supplies,South,48.328,16.109333333333336,14.4011,4.800366666666666,10,1
2014-03-18,Office Supplies,West,1856.19,1856.19,334.1142,334.1142,7,1
2014-03-18,Technology,South,23459.78,11729.89,-1827.5044,-913.7522,10,1
2014-03-18,Technology,West,1279.968,1279.968,415.9896,415.9896,4,1
2014-03-19,Furniture,South,25.008,12.504,6.8772,3.4386,6,1
2014-03-19,Office Supplies,South,71.538,23.846,-19.7898,-6.5966,12,1
2014-03-19,Technology,South,494.216,247.108,81.5479,40.77395,5,1
2014-03-21,Furniture,South,251.328,125.664,-4.328399999999999,-2.1641999999999997,6,1
2014-03-21,Office Supplies,East,13.456,6.728,2.7914,1.3957,5,1
2014-03-21,Office Supplies,South,345.102,57.516999999999996,146.9287,24.488116666666667,21,3
2014-03-21,Technology,South,3499.93,3499.93,909.9818,909.9818,7,1
2014-03-22,Furniture,West,314.352,314.352,-35.3646,-35.3646,3,1
2014-03-22,Office Supplies,Central,16.28,16.28,6.512,6.512,2,1
2014-03-22,Office Supplies,South,59.109,29.5545,-45.3169,-22.65845,9,1
2014-03-22,Office Supplies,West,74.352,74.352,23.235,23.235,3,1
2014-03-23,Office Supplies,South,9.912,9.912,3.2214,3.2214,3,1
2014-03-23,Office Supplies,West,330.4,330.4,85.904,85.904,2,1
2014-03-23,Technology,West,604.752,604.752,37.797,37.797,6,1
2014-03-24,Furniture,West,40.48,40.48,14.5728,14.5728,2,1
2014-03-24,Office Supplies,East,24.9,24.9,11.703,11.703,5,1
2014-03-25,Furniture,East,366.786,366.786,65.2064,65.2064,7,1
2014-03-25,Office Supplies,West,46.879999999999995,15.626666666666665,15.544,5.181333333333334,10,1
2014-03-25,Technology,West,45.48,45.48,15.918,15.918,4,1
2014-03-26,Office Supplies,West,50.046,16.682,19.2684,6.4228,11,2
2014-03-26,Technology,West,95.084,47.542,11.497399999999999,5.7486999999999995,5,2
2014-03-28,Furniture,Central,1184.72,1184.72,106.6248,106.6248,4,1
2014-03-28,Furniture,East,330.588,330.588,-143.2548,-143.2548,1,1
2014-03-28,Office Supplies,Central,6.12,6.12,2.8764,2.8764,3,1
2014-03-28,Technology,West,302.376,302.376,22.6782,22.6782,3,1
2014-03-29,Furniture,Central,890.841,890.841,-152.7156,-152.7156,3,1
2014-03-30,Furniture,Central,127.302,127.302,-9.093,-9.093,7,1
2014-03-30,Furniture,West,205.666,205.666,-12.098,-12.098,2,1
2014-03-30,Office Supplies,Central,465.02000000000004,232.51000000000002,119.7705,59.88525,7,2
2014-03-30,Office Supplies,East,60.15,30.075,23.793000000000003,11.896500000000001,10,2
2014-03-30,Office Supplies,West,60.239999999999995,30.119999999999997,22.2,11.1,6,1
2014-03-30,Technology,Central,251.944,251.944,88.1804,88.1804,7,1
2014-03-31,Furniture,South,1125.488,1125.488,98.4802,98.4802,7,1
2014-03-31,Office Supplies,Central,8.134,8.134,-13.8278,-13.8278,7,1
2014-03-31,Office Supplies,East,0.852,0.852,-0.5964,-0.5964,1,1
2014-03-31,Office Supplies,South,18.546,6.1819999999999995,-10.365899999999998,-3.4552999999999994,8,2
2014-03-31,Office Supplies,West,726.548,363.274,267.4224,133.7112,4,1
2014-03-31,Technology,Central,79.984,79.984,13.9972,13.9972,2,1
2014-04-01,Office Supplies,East,73.19999999999999,36.599999999999994,5.736,2.868,6,1
2014-04-01,Office Supplies,West,46.688,23.344,20.3536,10.1768,6,1
2014-04-02,Furniture,South,177.68,177.68,46.1968,46.1968,2,1
2014-04-02,Office Supplies,Central,60.208,30.104,19.817,9.9085,12,1
2014-04-02,Office Supplies,South,170.74,85.37,47.402,23.701,8,1
2014-04-02,Technology,South,1049.93,1049.93,293.9804,293.9804,7,1
2014-04-03,Office Supplies,West,11.16,11.16,5.58,5.58,2,1
2014-04-03,Technology,West,222.29,111.145,80.0244,40.0122,5,1
2014-04-04,Furniture,Central,5.47,5.47,2.3521,2.3521,1,1
2014-04-04,Office Supplies,Central,79.36,79.36,23.808,23.808,4,1
2014-04-04,Office Supplies,South,264.95,88.31666666666666,24.9836,8.327866666666667,10,1
2014-04-04,Office Supplies,West,26.084,13.042,11.317,5.6585,8,2
2014-04-04,Technology,South,99.98,99.98,42.9914,42.9914,2,1
2014-04-05,Office Supplies,Central,872.3380000000001,145.38966666666667,58.4739,9.74565,24,2
2014-04-05,Office Supplies,East,55.48,55.48,26.6304,26.6304,1,1
2014-04-05,Office Supplies,South,4338.29,867.658,160.393,32.0786,28,2
2014-04-05,Technology,South,28.99,28.99,8.4071,8.4071,1,1
2014-04-06,Furniture,East,154.764,154.764,-36.1116,-36.1116,3,1
2014-04-06,Furniture,West,778.6199999999999,259.53999999999996,139.6496,46.54986666666667,12,2
2014-04-06,Office Supplies,East,55.214,27.607,-38.117599999999996,-19.058799999999998,7,2
2014-04-06,Office Supplies,West,211.438,52.8595,78.177,19.54425,9,2
2014-04-06,Technology,East,116.784,116.784,21.897,21.897,2,1
2014-04-06,Technology,West,333.87,166.935,134.02079999999998,67.01039999999999,5,2
